index,Src IP,Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Fwd Packet Length Std,ACK Flag Count,Fwd Seg Size Min
1040,-0.0760696708681933,0.4417850665653434,-0.2885921579198049,3.981403314451372,1.0396685502624483,-0.0040379375746687,-0.5395427047696095,-0.0030122009773599,-2.953316566318017
1041,-0.0760696601436436,1.6563665066068332,-0.2815739337066503,-0.2508475511916248,-0.7989244257175149,-0.0040379375746687,1.779606834620926,-0.002759888685456,0.0199875559283781
136,-0.0764211090009297,0.9694931486043104,-0.2497287413394611,-0.2508475511916248,-0.7910530505746202,0.0110715487109007,0.8260168213556589,0.0043048554878525,2.993291678174774
139,-0.0764211036386548,0.3531188047175415,-0.2497287413394611,-0.2508475511916248,-0.5516208767162322,0.0100642496251961,0.8774294284384674,0.0038002309040447,2.993291678174774
1038,-0.0764211143632045,-0.1903846899329007,-0.2815739337066503,-0.2508475511916248,0.7708958139205085,-0.0040379375746687,-0.5395427047696095,-0.0030122009773599,0.0199875559283781
146,-0.0760696869550179,1.4515307884279898,-0.2497287413394611,-0.2508475511916248,-0.7866820864111803,0.002005856939559,1.164525833572184,0.0005201711092943,2.993291678174774
147,-0.0760696869550179,1.144403372602308,-0.2497287413394611,-0.2508475511916248,-0.7749682579537325,0.0040204551109683,0.9837875564923808,0.0012771079850059,2.993291678174774
188,-0.0764211036386548,0.3784520223883421,-0.2497287413394611,-0.2508475511916248,-0.4883905012278988,0.1269109435669338,0.0223577136393251,0.0663736792962069,2.993291678174774
193,-0.0760696923172928,0.8382852483172957,-0.2497287413394611,-0.2508475511916248,-0.7972931295259208,-0.0010160403175548,1.6270698099419991,-0.000741390350225,0.0199875559283781
1035,-0.0760696655059184,1.4448189996825385,-0.2815739337066503,-0.2508475511916248,0.7665028143645329,-0.0040379375746687,-0.5395427047696095,-0.0030122009773599,0.0199875559283781
1036,-0.0760696601436436,-1.1664200743371909,-0.2815739337066503,-0.2508475511916248,-0.7989306892990039,-0.0050452366603734,-0.5395427047696095,-0.002759888685456,0.0199875559283781
